timestamp,label,shoulder_pitch,shoulder_roll,shoulder_gyro,upper_arm_pitch,upper_arm_roll,upper_arm_gyro,forearm_pitch,forearm_roll,forearm_gyro,fused_angle
1775129493.168,peak_good,-62.457,-141.883,140.764,-82.073,-89.798,20.717,74.237,15.394,61.983,88.25
1775129494.8215,peak_good,-60.895,-140.033,140.547,-84.687,-85.45,21.856,73.0,26.084,60.755,87.79
1775129496.3876,peak_good,-61.537,-142.958,140.974,-84.741,-87.827,21.111,72.869,27.164,61.267,87.18
1775129497.9683,peak_good,-59.436,-140.618,141.647,-83.481,-88.038,20.6,74.266,22.331,60.803,87.54
1775129499.5411,peak_good,-61.202,-141.716,142.148,-83.881,-87.343,20.132,74.277,28.426,60.447,87.12
1775129505.7773,peak_good,-82.381,128.976,152.889,-64.729,-130.269,24.812,76.299,-1.057,59.758,87.17
1775129507.3462,peak_good,-61.118,-139.33,153.692,-82.558,-87.402,23.888,76.836,8.966,60.191,83.06
1775129508.9197,peak_good,-59.164,-138.116,153.221,-81.386,-79.611,23.625,77.664,12.2,59.874,83.73
1775129510.5336,peak_good,-59.145,-140.194,153.351,-81.094,-77.886,24.985,78.054,18.905,59.517,84.75
1775129512.111,peak_good,-58.807,-139.011,153.532,-83.587,-70.893,25.387,76.041,18.79,59.894,88.05
1775129513.6901,peak_good,-60.201,-141.522,142.097,-84.194,-79.046,21.119,77.013,19.512,61.106,87.39
1775129515.2546,peak_good,-60.086,-141.97,141.233,-83.398,-78.307,20.872,78.936,13.615,61.098,87.29
1775129516.9141,peak_good,-59.484,-140.93,141.034,-84.507,-72.681,22.141,76.028,25.151,61.228,87.63
1775129518.4835,peak_good,-59.634,-141.209,140.493,-84.758,-68.742,20.935,76.239,23.452,61.788,88.41
1775129520.0485,peak_good,-58.41,-141.846,140.617,-84.988,-73.039,20.81,75.22,25.716,61.961,88.76
1775129521.6142,peak_good,-59.583,-141.882,140.626,-84.877,-65.4,20.238,75.815,29.514,62.157,87.51
1775129523.2457,peak_good,-60.058,-142.848,140.403,-84.41,-75.543,21.434,75.892,24.262,62.227,87.53
1775129524.8192,peak_good,-59.539,-141.913,141.182,-84.426,-79.747,20.713,75.871,25.442,62.236,89.04
1775129526.3871,peak_good,-59.692,-143.434,141.521,-86.548,-79.842,20.688,74.518,27.052,62.139,88.25
1775129527.9527,peak_good,-59.674,-142.224,141.223,-85.556,-77.253,20.958,74.738,31.014,61.875,88.77
1775129529.6081,peak_good,-59.309,-140.968,140.906,-83.234,-70.007,22.165,76.063,40.207,60.089,87.24
1775129531.1756,peak_good,-59.072,-141.601,141.656,-85.705,-59.421,20.88,75.253,34.846,60.765,87.53
1775129532.7435,peak_good,-58.771,-141.987,141.453,-85.427,-50.352,20.737,76.576,39.052,61.143,86.66
1775129534.3221,peak_good,-59.837,-141.45,141.523,-85.458,-53.593,20.604,75.944,34.695,61.314,86.41
1775129540.2289,peak_good,-71.854,171.212,149.984,-69.993,-125.272,23.477,79.454,-3.481,59.451,86.15
1775129541.8022,peak_good,-62.59,-139.118,151.471,-83.786,-89.473,22.242,76.025,22.467,60.512,86.05
1775129543.3797,peak_good,-61.788,-139.032,150.864,-83.934,-76.905,22.205,74.821,15.482,61.825,90.38
1775129544.9482,peak_good,-62.731,-138.374,150.628,-84.737,-100.441,22.166,74.945,23.737,62.673,86.14
1775129546.5813,peak_good,-59.694,-139.013,150.215,-86.086,-83.082,23.329,76.229,30.191,62.565,86.21
1775129548.161,peak_good,-60.96,-137.946,142.458,-87.22,-61.113,20.49,75.731,30.678,64.396,86.59
1775129549.7384,peak_good,-60.738,-136.833,141.003,-85.925,-95.73,20.684,74.388,33.282,64.697,86.5
1775129551.3163,peak_good,-59.868,-138.513,141.358,-85.736,-75.6,20.542,74.375,36.671,63.126,87.37
